trip_distance_id,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,rate_code_name,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,payment_type_name,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
0,2,2016-03-10T12:41:27,2016-03-10T12:43:03,1,2.5,Standard rate,40.76467133,-73.93682098,40.76467133,-73.93679047,Cash,0,0,0,0,0,0,0
1,2,2016-03-10T07:14:39,2016-03-10T07:16:42,1,2.9,Standard rate,40.76393127,-73.90196228,40.7639389,-73.90196991,Cash,0,0,0,0,0,0,0
2,2,2016-03-10T07:49:01,2016-03-10T07:50:18,1,19.98,Standard rate,40.76401901,-73.90203857,40.76383972,-73.90209198,Cash,0,0,0,0,0,0,0
3,2,2016-03-01T01:07:43,2016-03-01T01:08:43,1,10.78,Standard rate,0,0,40.76457977,-73.93695831,Credit card,0,0,0,0,0,0,0
4,2,2016-03-01T06:11:58,2016-03-01T06:11:58,1,30.43,Standard rate,0,0,40.76477814,-73.93695068,Credit card,0,0,0,0,0,0,0
5,2,2016-03-10T07:38:58,2016-03-10T07:42:03,1,5.92,Standard rate,40.76398087,-73.90187073,40.76396179,-73.90190887,Cash,0,0,0,0,0,0,0
6,2,2016-03-10T13:07:29,2016-03-10T13:10:11,1,5.72,Standard rate,40.76375961,-73.90209198,40.7637291,-73.90209961,Cash,0,0,0,0,0,0,0
7,2,2016-03-10T09:16:50,2016-03-10T09:19:52,1,6.2,Standard rate,40.76455688,-73.93694305,40.76424789,-73.93701935,Credit card,0,0,0,0,0,0,0
8,2,2016-03-10T07:43:54,2016-03-10T07:45:52,1,0.7,Standard rate,40.76396942,-73.90189362,40.76396942,-73.90189362,Cash,0,0,0,0,0,0,0
9,2,2016-03-10T12:49:27,2016-03-10T12:49:41,1,7.18,Standard rate,40.76468277,-73.93669891,0,0,Credit card,0,0,0,0,0,0,0
10,2,2016-03-10T08:21:52,2016-03-10T08:22:22,1,0.54,Standard rate,40.76490021,-73.93743896,40.76490402,-73.93717957,Credit card,0,0,0,0,0,0,0
11,2,2016-03-10T10:51:05,2016-03-10T10:51:13,1,1.7,Standard rate,40.76463699,-73.93688202,0,0,Credit card,0,0,0,0,0,0,0
12,2,2016-03-10T08:21:27,2016-03-10T08:22:46,1,1.1,Standard rate,40.76393127,-73.90195465,40.76391602,-73.90197754,Cash,0,0,0,0,0,0,0
13,2,2016-03-10T09:24:14,2016-03-10T09:26:18,1,2.1,Standard rate,0,0,0,0,Credit card,0,0,0,0,0,0,0
14,2,2016-03-10T07:53:17,2016-03-10T07:54:59,1,8.54,Standard rate,40.7640419,-73.9019928,40.76389313,-73.90200806,Cash,0,0,0,0,0,0,0
